iter	Passed	Remaining
0	173	173563
1	179	89674
2	183	60904
3	188	46868
4	191	38121
5	196	32509
6	201	28533
7	203	25219
8	206	22700
9	208	20602
10	212	19065
11	214	17644
12	218	16562
13	219	15479
14	221	14549
15	222	13712
16	224	12964
17	225	12296
18	226	11713
19	228	11205
20	230	10732
21	231	10296
22	233	9898
23	234	9519
24	234	9162
25	236	8841
26	238	8596
27	239	8317
28	240	8066
29	241	7818
30	243	7601
31	244	7401
32	245	7199
33	247	7018
34	248	6840
35	251	6726
36	253	6606
37	255	6469
38	257	6336
39	258	6204
40	259	6068
41	261	5955
42	262	5836
43	263	5719
44	264	5607
45	265	5498
46	266	5407
47	267	5311
48	268	5216
49	269	5123
50	270	5034
51	271	4957
52	273	4880
53	274	4802
54	275	4726
55	276	4653
56	277	4590
57	278	4525
58	279	4459
59	280	4394
60	281	4332
61	283	4291
62	284	4236
63	285	4181
64	286	4128
65	288	4086
66	289	4037
67	290	3985
68	292	3943
69	293	3901
70	294	3857
71	295	3813
72	296	3768
73	297	3723
74	298	3680
75	299	3647
76	301	3611
77	302	3572
78	303	3533
79	303	3495
80	304	3460
81	306	3435
82	307	3397
83	308	3364
84	309	3331
85	310	3299
86	312	3279
87	314	3260
88	315	3234
89	318	3215
90	319	3188
91	320	3160
92	321	3132
93	322	3109
94	323	3085
95	324	3059
96	325	3032
97	326	3008
98	327	2983
99	329	2962
100	330	2940
101	331	2918
102	332	2894
103	333	2870
104	334	2849
105	335	2832
106	336	2812
107	337	2790
108	338	2768
109	339	2748
110	342	2740
111	343	2722
112	344	2702
113	345	2682
114	346	2667
115	348	2652
116	348	2632
117	349	2615
118	350	2598
119	351	2580
120	354	2577
121	356	2562
122	357	2545
123	359	2542
124	361	2529
125	362	2513
126	363	2500
127	364	2486
128	367	2483
129	370	2476
130	371	2463
131	372	2448
132	373	2433
133	375	2423
134	376	2411
135	377	2398
136	378	2386
137	379	2373
138	382	2366
139	383	2355
140	384	2342
141	385	2328
142	387	2319
143	388	2308
144	389	2295
145	390	2281
146	391	2269
147	393	2265
148	394	2254
149	395	2242
150	396	2229
151	397	2217
152	399	2211
153	400	2199
154	401	2188
155	402	2177
156	403	2165
157	404	2156
158	406	2150
159	407	2140
160	408	2127
161	409	2116
162	410	2108
163	411	2099
164	412	2089
165	413	2078
166	414	2069
167	416	2063
168	418	2058
169	419	2049
170	420	2040
171	422	2032
172	423	2024
173	424	2014
174	425	2005
175	426	1996
176	428	1992
177	429	1984
178	430	1976
179	432	1968
180	435	1968
181	436	1960
182	437	1952
183	438	1943
184	440	1938
185	441	1931
186	442	1922
187	443	1914
188	444	1906
189	447	1906
190	449	1901
191	450	1894
192	451	1889
193	453	1884
194	454	1878
195	456	1870
196	459	1871
197	460	1864
198	461	1856
199	462	1848
200	463	1843
201	465	1838
202	466	1831
203	467	1823
204	468	1816
205	470	1813
206	471	1807
207	472	1799
208	473	1792
209	474	1785
210	476	1782
211	478	1776
212	479	1771
213	485	1783
214	487	1779
215	489	1775
216	490	1770
217	491	1762
218	492	1756
219	494	1753
220	496	1748
221	497	1743
222	499	1741
223	501	1735
224	502	1729
225	503	1723
226	504	1718
227	506	1714
228	507	1709
229	508	1702
230	509	1696
231	511	1692
232	512	1687
233	513	1681
234	514	1675
235	515	1669
236	517	1665
237	518	1660
238	519	1655
239	521	1650
240	523	1647
241	525	1647
242	527	1643
243	528	1638
244	530	1633
245	531	1628
246	532	1623
247	533	1619
248	534	1613
249	536	1608
250	537	1603
251	538	1599
252	540	1594
253	541	1589
254	542	1584
255	544	1581
256	545	1578
